affil,lat,long,researcher,gs_page,researcher2,gs_page2,researcher3,gs_page3,z
University of Wisconsin-Madison,43.0798264,-89.43073256,Andrea Dutton,https://scholar.google.com/citations?hl=en&user=VV9vlKoAAAAJ,,,,,0
UNCW,34.16270672,-78.11642999,Andrea Hawkes,https://scholar.google.com/citations?hl=en&user=M2lXCCQAAAAJ,,,,,0
University of Liverpool,53.40698138,-2.965929069,Barbara Mauz,https://scholar.google.com/citations?hl=en&user=bGZMLS8AAAAJ,,,,,0
Geological Survey of Denmark and Greenland,55.6884,12.5814,Camilla S. Andresen,https://scholar.google.com/citations?hl=en&user=RYRnYGAAAAAJ,,,,,0
Delft University of Technology,51.99884026,4.374158798,Caroline van Calcar,https://scholar.google.com/citations?hl=en&user=Bcv1aicAAAAJ,,,,,0
NIOZ Royal Netherlands Institute for Sea Research,51.48877463,4.057249563,Carolina Camargo,https://scholar.google.com/citations?hl=en&user=7Jwu00AAAAAJ,,,,,0
Northumbria University,54.97878818,-1.60946415,Emma Hocking,https://scholar.google.com/citations?hl=en&user=bRSAEFYAAAAJ,,,,,0
Royal Netherlands Meteorological Institute,52.10156817,5.178311596,Eveline van der Linden,https://scholar.google.com/citations?hl=en&user=LQFIP4kAAAAJ,,,,,0
Harvard University,42.36789226,-71.12669024,Evelyn Powell,https://scholar.google.com/citations?hl=en&user=Cc4oJlUAAAAJ,,,,,0
Nanyang Technological University,1.348391132,103.6831266,Gina Sarkawi,https://scholar.google.com/citations?hl=en&user=W8_L6oQAAAAJ,Fangyi Tan,,Christabel Tan,,2
Centre for Climate Research Singapore,1.340435152,103.8880339,Hindumathi Palanisamy,https://scholar.google.com/citations?hl=en&user=T-LZomwAAAAJ,,,,,0
McGill University,45.50691719,-73.57926451,Holly Han,https://scholar.google.com/citations?hl=en&user=ECBQUKkAAAAJ,,,,,0
Trinity College Dublin,53.34364845,-6.25441028,Iris Moeller,https://scholar.google.com/citations?hl=en&user=dtwB_qIAAAAJ,,,,,0
Columbia University,40.80794242,-73.96165196,Jacky Austermann,https://scholar.google.com/citations?hl=en&user=9-DQcL0AAAAJ,,,,,0
University of KwaZulu-Natal,-29.62279609,30.3946563,Jemma Finch,https://scholar.google.com/citations?hl=en&user=Wt1D60IAAAAJ,,,,,0
Fudan University,31.30106045,121.5005766,Jiacan Yuan,https://scholar.google.com/citations?hl=en&user=FXb2_P0AAAAJ,,,,,0
Tufts University,42.40628348,-71.11810733,Juliet Sefton,https://scholar.google.com/citations?hl=en&user=tNbMypEAAAAJ,,,,,0
University of York,53.94539275,-1.031300704,Katherine Selby,https://scholar.google.com/citations?hl=en&user=QnZjZ64AAAAJ,Sophie Williams,,,,1
University of Pisa,43.71991386,10.40994751,Marta Pappalardo,https://scholar.google.com/citations?hl=en&user=myoHrj8AAAAJ,,,,,0
Lamont-Doherty Earth Observatory,41.0045473,-73.90887058,Maureen E. Raymo,https://scholar.google.com/citations?hl=en&user=_GCJCWsAAAAJ,,,,,0
McGill University,45.50692544,-73.5791171,Natalya Gomez,https://scholar.google.com/citations?hl=en&user=Ri25lnsAAAAJ,,,,,0
University of Leeds,53.80666526,-1.55613302,Natasha Barlow,https://scholar.google.com/citations?hl=en&user=gFaE6MwAAAAJ,,,,,0
University of Hong Kong,22.28267983,114.1386379,Nicole Khan,https://scholar.google.com/citations?hl=en&user=IIDOcvUAAAAJ,,,,,0
Maynooth University,53.38206606,-6.598771252,Niamh Cahill,https://scholar.google.com/citations?hl=en&user=YeGX4IkAAAAJ,Maeve Upton,,,,1
Columbia University,40.80793777,-73.96168067,oana dumitru,https://scholar.google.com/citations?hl=en&user=Ufu28IwAAAAJ,,,,,0
Durham University,54.76863429,-1.57224451,Pippa Whitehouse,https://scholar.google.com/citations?hl=en&user=MkSdgxEAAAAJ,Sarah Woodroffe,https://scholar.google.com/citations?hl=en&user=gombq7IAAAAJ,,,1
Harvard University,42.36791945,-71.12697295,Sophie Coulson,https://scholar.google.com/citations?hl=en&user=nEuV-g0AAAAJ,Marisa Borreggine,https://scholar.google.com/citations?hl=en&user=aXONXX4AAAAJ,,,1
Tulane University,29.9412067,-90.1201665,Udita Mukherjee,https://scholar.google.com/citations?hl=en&user=teXmfRMAAAAJ,,,,,0
Sun Yat-sen University,23.10000506,113.2932124,Yaze Zhang,https://scholar.google.com/citations?hl=en&user=1i2w93gAAAAJ,,,,,0